fecha;tipo;monto;categoria;descripcion;contraparte
2024-05-01;ingreso;450000;Ventas;Venta mayorista mayo - 45 unidades;Distribuciones del Sur SA
2024-05-03;gasto;180000;Alquiler;Alquiler local comercial mayo;Inmobiliaria Delta SRL
2024-05-05;gasto;25000;Servicios;Internet fibra óptica mayo;Telecom Argentina
2024-05-07;gasto;15000;Transporte;Flete semanal zona sur;Logística Express
2024-05-10;ingreso;280000;Servicios;Consultoría tecnológica empresa Alfa;Alfa Sistemas SA
2024-05-12;gasto;35000;Insumos;Compra packaging ecológico;Pack Verde SA
2024-05-15;gasto;85000;Sueldos;Pago empleado administrativo mayo;Rodríguez Martín
2024-05-18;ingreso;320000;Ventas;Venta retail semana 3;Varios clientes
2024-05-22;gasto;22000;Servicios Públicos;Electricidad mayo;Edenor
2024-05-25;gasto;12000;Telefonía;Servicio celular mayo;Movistar
2024-05-28;ingreso;510000;Ventas;Venta mayorista fin de mes;Distribuciones del Sur SA
2024-05-30;gasto;45000;Impuestos;IVA mensuales mayo;AFIP
2024-06-01;ingreso;380000;Ventas;Venta retail primera semana junio;Varios clientes
2024-06-03;gasto;180000;Alquiler;Alquiler local comercial junio;Inmobiliaria Delta SRL
2024-06-05;gasto;25000;Servicios;Internet fibra óptica junio;Telecom Argentina
2024-06-08;gasto;18000;Transporte;Flete insumos varias entregas;Logística Express
2024-06-12;ingreso;290000;Servicios;Proyecto desarrollo web cliente Beta;Beta Technologies
2024-06-15;gasto;85000;Sueldos;Pago empleado administrativo junio;Rodríguez Martín
2024-06-18;gasto;32000;Insumos;Material de oficina y librería;Papelera Central
2024-06-22;ingreso;410000;Ventas;Venta mayorista junio;Distribuciones del Sur SA
2024-06-25;gasto;22000;Servicios Públicos;Electricidad junio;Edenor
2024-06-28;gasto;15000;Telefonía;Servicio celular junio;Movistar
2024-06-30;gasto;55000;Impuestos;IVA mensuales junio;AFIP
2024-07-02;ingreso;520000;Ventas;Venta mayorista julio - pedidos temporada;Distribuciones del Sur SA
2024-07-03;gasto;180000;Alquiler;Alquiler local comercial julio;Inmobiliaria Delta SRL
2024-07-05;gasto;28000;Servicios;Internet fibra óptica julio;Telecom Argentina
2024-07-08;gasto;12000;Transporte;Mudanza оборудования;Mudanzas Rápidas
2024-07-10;ingreso;350000;Servicios;Mantenimiento sistemas cliente Gama;Gama Industrial
2024-07-12;gasto;42000;Insumos;Repuestos y herramientas;Ferretería Industrial Norte
